date,day_type,name,latitude,longitude,pp25_value,ozone,visits,max_temp,min_temp,precip
2020-01-01,Weekday,Doudy Draw,39.93810938,-105.2565571,5.33,0.043,22,53,23,0
2020-01-02,Weekday,Doudy Draw,39.93810938,-105.2565571,1.37,0.043,10,48,28,0
2020-01-03,Weekday,Doudy Draw,39.93810938,-105.2565571,2.02,0.043,2,47,23,0
2020-01-04,Weekend,Doudy Draw,39.93810938,-105.2565571,2.18,0.046,3,65,28,0
2020-01-05,Weekend,Doudy Draw,39.93810938,-105.2565571,1.85,0.043,14,58,28,0
2020-01-06,Weekday,Doudy Draw,39.93810938,-105.2565571,2.55,0.045,19,41,27,0
2020-01-07,Weekday,Doudy Draw,39.93810938,-105.2565571,1.67,0.044,8,57,32,0
2020-01-08,Weekday,Doudy Draw,39.93810938,-105.2565571,1.65,0.043,52,58,34,0
2020-01-09,Weekday,Doudy Draw,39.93810938,-105.2565571,2.29,0.038,46,50,24,0
2020-01-10,Weekday,Doudy Draw,39.93810938,-105.2565571,4.12,0.028,42,36,19,0
2020-01-11,Weekend,Doudy Draw,39.93810938,-105.2565571,5.67,0.042,130,45,11,0
2020-01-12,Weekend,Doudy Draw,39.93810938,-105.2565571,1.45,0.041,131,42,18,0
2020-01-13,Weekday,Doudy Draw,39.93810938,-105.2565571,2.76,0.047,46,45,17,0
2020-01-14,Weekday,Doudy Draw,39.93810938,-105.2565571,3.07,0.042,54,53,25,0
2020-01-15,Weekday,Doudy Draw,39.93810938,-105.2565571,2.28,0.037,42,47,25,0
2020-01-16,Weekday,Doudy Draw,39.93810938,-105.2565571,5.02,0.026,36,37,15,0
2020-01-17,Weekday,Doudy Draw,39.93810938,-105.2565571,5.96,0.046,51,50,21,0
2020-01-18,Weekend,Doudy Draw,39.93810938,-105.2565571,5.33,0.034,136,42,17,0
2020-01-19,Weekend,Doudy Draw,39.93810938,-105.2565571,4.93,0.034,166,47,18,0
2020-01-20,Weekday,Doudy Draw,39.93810938,-105.2565571,6.12,0.037,122,51,19,0
2020-01-21,Weekday,Doudy Draw,39.93810938,-105.2565571,9.02,0.03,34,51,28,0
2020-01-22,Weekday,Doudy Draw,39.93810938,-105.2565571,5.76,0.044,52,53,34,0
2020-01-23,Weekday,Doudy Draw,39.93810938,-105.2565571,6.46,0.04,38,42,26,0
2020-01-24,Weekday,Doudy Draw,39.93810938,-105.2565571,6.32,0.031,44,52,21,0
2020-01-25,Weekend,Doudy Draw,39.93810938,-105.2565571,6.66,0.042,150,56,26,0
2020-01-26,Weekend,Doudy Draw,39.93810938,-105.2565571,3.45,0.038,191,54,27,0
2020-01-27,Weekday,Doudy Draw,39.93810938,-105.2565571,11.38,0.04,42,43,28,0
2020-01-28,Weekday,Doudy Draw,39.93810938,-105.2565571,2.19,0.038,48,50,23,0
2020-01-30,Weekday,Doudy Draw,39.93810938,-105.2565571,9.6,0.039,41,40,20,0
2020-01-31,Weekday,Doudy Draw,39.93810938,-105.2565571,3.59,0.044,85,55,17,0
2020-02-01,Weekend,Doudy Draw,39.93810938,-105.2565571,2.49,0.052,129,65,25,0
2020-02-02,Weekend,Doudy Draw,39.93810938,-105.2565571,2.17,0.051,240,75,44,0
2020-02-03,Weekday,Doudy Draw,39.93810938,-105.2565571,4.94,0.034,4,61,18,0.25
2020-02-04,Weekday,Doudy Draw,39.93810938,-105.2565571,4.12,0.039,14,22,9,0.5
2020-02-05,Weekday,Doudy Draw,39.93810938,-105.2565571,11.89,0.04,30,31,-3,0
2020-02-06,Weekday,Doudy Draw,39.93810938,-105.2565571,11.36,0.039,22,42,20,0
2020-02-07,Weekday,Doudy Draw,39.93810938,-105.2565571,6.2,0.041,16,35,23,0.31
2020-02-08,Weekend,Doudy Draw,39.93810938,-105.2565571,6.75,0.044,130,55,21,0.01
2020-02-09,Weekend,Doudy Draw,39.93810938,-105.2565571,6.56,0.036,42,47,24,0.24
2020-02-10,Weekday,Doudy Draw,39.93810938,-105.2565571,6.85,0.041,30,35,11,0
2020-02-11,Weekday,Doudy Draw,39.93810938,-105.2565571,5.74,0.044,21,35,6,0.45
2020-02-12,Weekday,Doudy Draw,39.93810938,-105.2565571,4.98,0.044,38,40,14,0.04
2020-02-13,Weekday,Doudy Draw,39.93810938,-105.2565571,7.75,0.034,30,29,14,0.15
